Alabama,4858979,9
Montana,1032949,3
Alaska,738432,3
Nebraska,1896190,5
Arizona,6828065,11
Nevada,2890845,6
Arkansas,2978204,6
New Hampshire,1330608,4
California,39144818,55
New Jersey,8958013,14
Colorado,5456574,9
New Mexico,2085109,5
Connecticut,3590886,7
New York,19795791,29
Delaware,945934,3
North Carolina,10042802,15
Florida,20271272,29
North Dakota,756927,3
Georgia,10214860,16
Ohio,11613423,18
Hawaii,1431603,4
Oklahoma,3911338,7
Idaho,1654930,4
Oregon,4028977,7
Illinois,12859995,20
Pennsylvania,12802503,20
Indiana,6619680,11
Rhode Island,1056298,4
Iowa,3123899,6
South Carolina,4896146,9
Kansas,2911641,6
South Dakota,858469,3
Kentucky,4425092,8
Tennessee,6600299,11
Louisiana,4670724,8
Texas,27469114,38
Maine,1329328,4
Utah,2995919,6
Maryland,6006401,10
Vermont,626042,3
Massachusetts,6794422,11
Virginia,8382993,13
Michigan,9922576,16
Washington,7170351,12
Minnesota,5489594,10
West Virginia,1844128,5
Mississippi,2992333,6
Wisconsin,5771337,10
Missouri,6083672,10
Wyoming,586107,3
